"filename", "language", "PHP", "JSON", "JavaScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\application-logo.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 8
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\danger-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\dropdown.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 5, 36
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\input-error.blade.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 2, 10
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\input-label.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\modal.blade.php", "PHP", 73, 0, 0, 0, 0, 0, 2, 4, 79
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\primary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\responsive-nav-link.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 3, 12
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\secondary-button.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\components\text-input.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 2, 4
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\empleado\dashboard.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 3, 36
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\info.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 1, 19
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\layouts\app.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 6, 37
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\layouts\guest.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 5, 31
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\layouts\navigation.blade.php", "PHP", 115, 0, 0, 0, 0, 0, 0, 18, 133
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\profile\edit.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 4, 30
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 11, 56
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\profile\partials\update-password-form.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 8, 49
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 11, 65
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\companies\create.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 4, 53
"\\wsl.localhost\Ubuntu\home\jupazago\Documentos\project_lara\POS\resources\views\superadmin\companies\edit.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 4, 53
